user_id,question_id,concept_id,correct,timestamp
s1,q1,c18,0,1
s1,q175,c30,0,2
s1,q177,c10,1,3
s1,q77,c17,0,4
s1,q99,c21,0,5
s1,q108,c17,0,6
s1,q141,c3,0,7
s1,q143,c29,1,8
s1,q60,c12,0,9
s1,q6,c21,0,10
s1,q20,c5,0,11
s1,q25,c2,0,12
s1,q174,c26,1,13
s1,q55,c28,0,14
s1,q82,c24,0,15
s1,q159,c21,0,16
s1,q103,c12,1,17
s1,q163,c4,0,18
s1,q135,c15,0,19
s1,q119,c18,0,20
s1,q152,c9,1,21
s1,q122,c21,1,22
s1,q136,c12,1,23
s1,q130,c23,0,24
s1,q155,c15,0,25
s1,q60,c12,1,26
s1,q137,c9,1,27
s1,q1,c18,1,28
s1,q53,c21,1,29
s1,q10,c4,0,30
s1,q180,c18,1,31
s1,q14,c1,1,32
s1,q128,c11,1,33
s1,q4,c11,0,34
s1,q171,c28,1,35
s1,q89,c11,0,36
s1,q111,c16,1,37
s1,q116,c8,0,38
s1,q71,c11,1,39
s1,q11,c10,1,40
s1,q118,c22,1,41
s1,q169,c23,1,42
s1,q90,c27,1,43
s1,q42,c5,1,44
s1,q170,c23,0,45
s1,q55,c28,0,46
s1,q59,c16,1,47
s1,q112,c23,0,48
s1,q75,c9,0,49
s1,q7,c21,0,50
s1,q106,c25,1,51
s1,q7,c21,0,52
s1,q151,c3,1,53
s1,q170,c23,0,54
s1,q12,c13,0,55
s1,q137,c9,0,56
s1,q174,c26,1,57
s1,q68,c10,0,58
s1,q127,c2,1,59
s1,q66,c19,0,60
s1,q101,c20,0,61
s1,q15,c22,0,62
s1,q61,c5,1,63
s2,q95,c19,1,1
s2,q68,c10,0,2
s2,q11,c10,0,3
s2,q61,c5,1,4
s2,q92,c13,0,5
s2,q45,c15,0,6
s2,q176,c19,0,7
s2,q123,c16,1,8
s2,q97,c18,1,9
s2,q54,c15,1,10
s2,q32,c24,0,11
s2,q156,c7,0,12
s2,q162,c18,0,13
s2,q99,c21,1,14
s2,q100,c9,1,15
s2,q11,c10,1,16
s2,q110,c5,0,17
s2,q121,c18,1,18
s2,q81,c8,1,19
s2,q57,c27,1,20
s2,q30,c6,1,21
s2,q152,c9,0,22
s2,q166,c6,1,23
s2,q82,c24,0,24
s2,q147,c24,0,25
s2,q9,c4,0,26
s2,q65,c4,0,27
s2,q3,c25,0,28
s2,q17,c16,1,29
s2,q35,c1,1,30
s2,q8,c24,0,31
s2,q97,c18,1,32
s2,q148,c11,0,33
s2,q87,c6,1,34
s2,q166,c6,0,35
s2,q90,c27,0,36
s2,q99,c21,1,37
s2,q71,c11,0,38
s2,q134,c5,0,39
s2,q54,c15,0,40
s2,q170,c23,1,41
s2,q128,c11,1,42
s2,q81,c8,1,43
s2,q141,c3,0,44
s2,q97,c18,1,45
s2,q32,c24,0,46
s2,q124,c29,1,47
s2,q115,c25,1,48
s2,q107,c7,0,49
s2,q89,c11,0,50
s2,q44,c8,0,51
s2,q165,c29,0,52
s2,q102,c1,1,53
s2,q121,c18,0,54
s2,q122,c21,0,55
s2,q7,c21,1,56
s2,q114,c8,1,57
s2,q135,c15,0,58
s2,q29,c12,0,59
s2,q99,c21,0,60
s2,q19,c27,1,61
s2,q32,c24,0,62
s2,q12,c13,0,63
s2,q114,c8,1,64
s2,q101,c20,1,65
s2,q176,c19,1,66
s2,q41,c8,1,67
s2,q24,c6,0,68
s2,q41,c8,1,69
s2,q116,c8,0,70
s2,q37,c29,1,71
s2,q94,c5,1,72
s2,q167,c20,1,73
s2,q34,c1,0,74
s2,q17,c16,1,75
s2,q58,c27,1,76
s2,q11,c10,0,77
s2,q72,c23,1,78
s2,q5,c14,0,79
s2,q159,c21,0,80
s2,q56,c13,0,81
s2,q5,c14,0,82
s2,q37,c29,1,83
s3,q114,c8,0,1
s3,q99,c21,1,2
s3,q133,c12,1,3
s3,q34,c1,1,4
s3,q34,c1,1,5
s3,q32,c24,0,6
s3,q13,c23,0,7
s3,q138,c29,1,8
s3,q40,c10,0,9
s3,q32,c24,1,10
s3,q94,c5,1,11
s3,q89,c11,1,12
s3,q120,c27,0,13
s3,q174,c26,0,14
s3,q119,c18,0,15
s3,q138,c29,1,16
s3,q155,c15,1,17
s3,q153,c7,0,18
s3,q178,c9,1,19
s3,q144,c10,1,20
s3,q26,c12,0,21
s3,q85,c30,1,22
s3,q168,c24,1,23
s3,q126,c27,0,24
s3,q106,c25,1,25
s3,q87,c6,1,26
s3,q100,c9,1,27
s3,q74,c7,1,28
s3,q135,c15,1,29
s3,q128,c11,1,30
s3,q57,c27,0,31
s3,q155,c15,1,32
s3,q160,c27,0,33
s3,q46,c27,1,34
s3,q121,c18,1,35
s3,q139,c13,1,36
s3,q83,c9,0,37
s3,q175,c30,1,38
s3,q161,c5,1,39
s3,q121,c18,1,40
s3,q135,c15,1,41
s3,q91,c14,1,42
s3,q87,c6,0,43
s3,q110,c5,1,44
s3,q14,c1,1,45
s3,q28,c7,1,46
s3,q74,c7,1,47
s3,q109,c15,1,48
s3,q163,c4,1,49
s3,q78,c27,1,50
s3,q6,c21,1,51
s3,q31,c6,1,52
s3,q62,c27,1,53
s3,q157,c1,1,54
s3,q111,c16,0,55
s3,q114,c8,0,56
s3,q110,c5,1,57
s3,q30,c6,1,58
s3,q38,c14,1,59
s3,q124,c29,0,60
s3,q172,c2,1,61
s3,q4,c11,0,62
s3,q63,c11,1,63
s3,q152,c9,1,64
s3,q26,c12,0,65
s3,q91,c14,1,66
s3,q141,c3,0,67
s3,q74,c7,1,68
s3,q128,c11,1,69
s3,q125,c27,1,70
s3,q156,c7,1,71
s3,q85,c30,1,72
s3,q123,c16,1,73
s3,q29,c12,0,74
s3,q163,c4,1,75
s3,q121,c18,1,76
s3,q144,c10,1,77
s3,q47,c21,1,78
s3,q76,c3,1,79
s3,q120,c27,0,80
s3,q46,c27,1,81
s3,q4,c11,1,82
s3,q136,c12,1,83
s3,q19,c27,1,84
s3,q52,c2,1,85
s4,q111,c16,0,1
s4,q81,c8,0,2
s4,q72,c23,0,3
s4,q170,c23,0,4
s4,q14,c1,0,5
s4,q20,c5,0,6
s4,q24,c6,1,7
s4,q162,c18,0,8
s4,q101,c20,1,9
s4,q179,c16,0,10
s4,q177,c10,0,11
s4,q109,c15,0,12
s4,q174,c26,0,13
s4,q38,c14,0,14
s4,q61,c5,0,15
s4,q49,c27,1,16
s4,q142,c13,0,17
s4,q161,c5,0,18
s4,q43,c12,0,19
s4,q18,c15,1,20
s4,q39,c4,0,21
s4,q75,c9,0,22
s4,q160,c27,0,23
s4,q40,c10,0,24
s4,q54,c15,0,25
s4,q154,c5,0,26
